danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature
0.478	0.854	4	-6.75	1	0.0461	0.000779	0.0	0.0374	0.317	132.976	audio_features	2pGhWehNgJ3BYbGBWmTV2B	spotify:track:2pGhWehNgJ3BYbGBWmTV2B	https://api.spotify.com/v1/tracks/2pGhWehNgJ3BYbGBWmTV2B	https://api.spotify.com/v1/audio-analysis/2pGhWehNgJ3BYbGBWmTV2B	264000	4
0.373	0.419	6	-12.758	1	0.0397	0.847	0.189	0.0966	0.408	64.048	audio_features	7JCKVhqAEmhXeYkCvfhfT6	spotify:track:7JCKVhqAEmhXeYkCvfhfT6	https://api.spotify.com/v1/tracks/7JCKVhqAEmhXeYkCvfhfT6	https://api.spotify.com/v1/audio-analysis/7JCKVhqAEmhXeYkCvfhfT6	223667	4
0.597	0.328	2	-14.54	0	0.0443	0.857	0.000255	0.191	0.896	126.634	audio_features	0vGVXEeBJ1q2RFOFLZzIIy	spotify:track:0vGVXEeBJ1q2RFOFLZzIIy	https://api.spotify.com/v1/tracks/0vGVXEeBJ1q2RFOFLZzIIy	https://api.spotify.com/v1/audio-analysis/0vGVXEeBJ1q2RFOFLZzIIy	217246	4
0.539	0.359	4	-10.375	0	0.0327	0.801	0.0	0.217	0.505	74.915	audio_features	2c6KBMhRHdXYcOdLwsfFnC	spotify:track:2c6KBMhRHdXYcOdLwsfFnC	https://api.spotify.com/v1/tracks/2c6KBMhRHdXYcOdLwsfFnC	https://api.spotify.com/v1/audio-analysis/2c6KBMhRHdXYcOdLwsfFnC	177215	4
0.531	0.926	11	-4.758	1	0.161	0.0233	0.00854	0.282	0.82	89.731	audio_features	5DyalZrYq2ISO80jOWSuGy	spotify:track:5DyalZrYq2ISO80jOWSuGy	https://api.spotify.com/v1/tracks/5DyalZrYq2ISO80jOWSuGy	https://api.spotify.com/v1/audio-analysis/5DyalZrYq2ISO80jOWSuGy	304097	4
0.344	0.615	7	-6.886	1	0.0327	0.455	0.00339	0.122	0.209	98.99	audio_features	1U4W2b7SdGXjNuJ7K591Re	spotify:track:1U4W2b7SdGXjNuJ7K591Re	https://api.spotify.com/v1/tracks/1U4W2b7SdGXjNuJ7K591Re	https://api.spotify.com/v1/audio-analysis/1U4W2b7SdGXjNuJ7K591Re	221720	4
0.264	0.64	1	-3.328	0	0.04	3.87e-06	0.905	0.0302	0.444	91.831	audio_features	1JLr7tt4TEgVaiULJs7WXt	spotify:track:1JLr7tt4TEgVaiULJs7WXt	https://api.spotify.com/v1/tracks/1JLr7tt4TEgVaiULJs7WXt	https://api.spotify.com/v1/audio-analysis/1JLr7tt4TEgVaiULJs7WXt	97969	3
0.416	0.337	5	-12.264	1	0.0272	0.241	0.211	0.115	0.233	98.988	audio_features	6758jFNBgvpmxXTScXplAm	spotify:track:6758jFNBgvpmxXTScXplAm	https://api.spotify.com/v1/tracks/6758jFNBgvpmxXTScXplAm	https://api.spotify.com/v1/audio-analysis/6758jFNBgvpmxXTScXplAm	307067	4
0.61	0.704	0	-12.56	1	0.0291	0.000134	0.96	0.1	0.171	129.01	audio_features	2Kn4IrAsj0Af2w4PQFTf7r	spotify:track:2Kn4IrAsj0Af2w4PQFTf7r	https://api.spotify.com/v1/tracks/2Kn4IrAsj0Af2w4PQFTf7r	https://api.spotify.com/v1/audio-analysis/2Kn4IrAsj0Af2w4PQFTf7r	324880	4
0.672	0.964	11	-5.239	0	0.0484	0.196	0.0	0.383	0.835	107.976	audio_features	1f9IgN84vrPod0a0o91gbW	spotify:track:1f9IgN84vrPod0a0o91gbW	https://api.spotify.com/v1/tracks/1f9IgN84vrPod0a0o91gbW	https://api.spotify.com/v1/audio-analysis/1f9IgN84vrPod0a0o91gbW	346667	4
0.587	0.497	6	-10.757	1	0.0307	0.723	0.782	0.142	0.401	144.972	audio_features	6HTVZeVQ9J6Uiq6tHESxU9	spotify:track:6HTVZeVQ9J6Uiq6tHESxU9	https://api.spotify.com/v1/tracks/6HTVZeVQ9J6Uiq6tHESxU9	https://api.spotify.com/v1/audio-analysis/6HTVZeVQ9J6Uiq6tHESxU9	287634	3
0.64	0.768	6	-7.457	0	0.031	0.00308	0.832	0.133	0.612	140.056	audio_features	0O5xScq1NO7Fr6qiK7kpcK	spotify:track:0O5xScq1NO7Fr6qiK7kpcK	https://api.spotify.com/v1/tracks/0O5xScq1NO7Fr6qiK7kpcK	https://api.spotify.com/v1/audio-analysis/0O5xScq1NO7Fr6qiK7kpcK	190218	4
0.312	0.533	4	-11.43	1	0.0355	0.358	0.898	0.175	0.302	165.064	audio_features	2g4MCLih5ydYgd8UWLRBse	spotify:track:2g4MCLih5ydYgd8UWLRBse	https://api.spotify.com/v1/tracks/2g4MCLih5ydYgd8UWLRBse	https://api.spotify.com/v1/audio-analysis/2g4MCLih5ydYgd8UWLRBse	192000	3
0.748	0.758	3	-5.561	0	0.424	0.421	3.39e-06	0.307	0.533	85.733	audio_features	2oUtpSUBtfjsEBzZofkNGr	spotify:track:2oUtpSUBtfjsEBzZofkNGr	https://api.spotify.com/v1/tracks/2oUtpSUBtfjsEBzZofkNGr	https://api.spotify.com/v1/audio-analysis/2oUtpSUBtfjsEBzZofkNGr	235600	4
0.504	0.68	0	-9.265	1	0.248	0.368	5.49e-05	0.514	0.662	69.267	audio_features	1jFePmWti26O30j5ypNaPz	spotify:track:1jFePmWti26O30j5ypNaPz	https://api.spotify.com/v1/tracks/1jFePmWti26O30j5ypNaPz	https://api.spotify.com/v1/audio-analysis/1jFePmWti26O30j5ypNaPz	145754	4
0.441	0.872	2	-4.163	1	0.0551	0.00365	0.0	0.0819	0.258	170.014	audio_features	2YZrjrLRMfGdyue73N6BLY	spotify:track:2YZrjrLRMfGdyue73N6BLY	https://api.spotify.com/v1/tracks/2YZrjrLRMfGdyue73N6BLY	https://api.spotify.com/v1/audio-analysis/2YZrjrLRMfGdyue73N6BLY	248166	4
0.547	0.43	2	-7.393	1	0.0667	0.848	0.615	0.0825	0.175	114.732	audio_features	26HaY4D7AV0gVxmkz11bIz	spotify:track:26HaY4D7AV0gVxmkz11bIz	https://api.spotify.com/v1/tracks/26HaY4D7AV0gVxmkz11bIz	https://api.spotify.com/v1/audio-analysis/26HaY4D7AV0gVxmkz11bIz	182467	4
0.872	0.684	5	-7.106	1	0.05	0.00563	0.0138	0.174	0.541	148.0	audio_features	0FCECeOtvMAGosjKB08s28	spotify:track:0FCECeOtvMAGosjKB08s28	https://api.spotify.com/v1/tracks/0FCECeOtvMAGosjKB08s28	https://api.spotify.com/v1/audio-analysis/0FCECeOtvMAGosjKB08s28	144000	4
0.501	0.951	4	-6.008	0	0.0617	0.000944	0.354	0.0952	0.261	132.027	audio_features	6ZyZmST8VAUEv8EUa5Xllw	spotify:track:6ZyZmST8VAUEv8EUa5Xllw	https://api.spotify.com/v1/tracks/6ZyZmST8VAUEv8EUa5Xllw	https://api.spotify.com/v1/audio-analysis/6ZyZmST8VAUEv8EUa5Xllw	482317	3
0.361	0.703	10	-6.297	1	0.0826	0.595	0.213	0.126	0.365	165.407	audio_features	4aUzqr1SpA37DoJXoCVCwA	spotify:track:4aUzqr1SpA37DoJXoCVCwA	https://api.spotify.com/v1/tracks/4aUzqr1SpA37DoJXoCVCwA	https://api.spotify.com/v1/audio-analysis/4aUzqr1SpA37DoJXoCVCwA	199831	4
0.651	0.83	2	-8.785	1	0.0316	0.00824	0.0429	0.0837	0.917	131.282	audio_features	43G3McVkRa8V7oGQzfQuRr	spotify:track:43G3McVkRa8V7oGQzfQuRr	https://api.spotify.com/v1/tracks/43G3McVkRa8V7oGQzfQuRr	https://api.spotify.com/v1/audio-analysis/43G3McVkRa8V7oGQzfQuRr	213173	4
0.883	0.897	7	-6.425	1	0.342	0.216	0.0514	0.0835	0.222	90.015	audio_features	1czkQpabTURv5Ukgh3R0zT	spotify:track:1czkQpabTURv5Ukgh3R0zT	https://api.spotify.com/v1/tracks/1czkQpabTURv5Ukgh3R0zT	https://api.spotify.com/v1/audio-analysis/1czkQpabTURv5Ukgh3R0zT	163840	4
0.113	0.101	7	-22.202	1	0.0411	0.884	0.147	0.102	0.0584	81.27	audio_features	0jSpxjg6XAuxwYs32Q78Cu	spotify:track:0jSpxjg6XAuxwYs32Q78Cu	https://api.spotify.com/v1/tracks/0jSpxjg6XAuxwYs32Q78Cu	https://api.spotify.com/v1/audio-analysis/0jSpxjg6XAuxwYs32Q78Cu	211227	3
0.424	0.783	2	-5.833	1	0.0435	0.182	0.789	0.143	0.314	175.062	audio_features	5sMJP9TRb930RzMVaAUq2v	spotify:track:5sMJP9TRb930RzMVaAUq2v	https://api.spotify.com/v1/tracks/5sMJP9TRb930RzMVaAUq2v	https://api.spotify.com/v1/audio-analysis/5sMJP9TRb930RzMVaAUq2v	248933	4
0.704	0.681	5	-7.4	1	0.0343	0.431	0.0	0.11	0.927	125.209	audio_features	0ckaiscpV8eaZ9WWJLdFbs	spotify:track:0ckaiscpV8eaZ9WWJLdFbs	https://api.spotify.com/v1/tracks/0ckaiscpV8eaZ9WWJLdFbs	https://api.spotify.com/v1/audio-analysis/0ckaiscpV8eaZ9WWJLdFbs	172747	4
0.504	0.827	9	-5.832	1	0.0355	0.0177	0.0899	0.0513	0.227	103.932	audio_features	5TC6bJRlkK0CGRhmaTKZ8w	spotify:track:5TC6bJRlkK0CGRhmaTKZ8w	https://api.spotify.com/v1/tracks/5TC6bJRlkK0CGRhmaTKZ8w	https://api.spotify.com/v1/audio-analysis/5TC6bJRlkK0CGRhmaTKZ8w	292880	4
0.642	0.727	2	-5.323	1	0.0405	0.205	0.00255	0.352	0.199	104.967	audio_features	1WzjHwUVpTHIzAG4WojART	spotify:track:1WzjHwUVpTHIzAG4WojART	https://api.spotify.com/v1/tracks/1WzjHwUVpTHIzAG4WojART	https://api.spotify.com/v1/audio-analysis/1WzjHwUVpTHIzAG4WojART	209333	4
0.404	0.695	2	-6.162	1	0.034	0.587	0.0383	0.159	0.646	133.136	audio_features	2YJgM8lj4u5YEZRSHSfL60	spotify:track:2YJgM8lj4u5YEZRSHSfL60	https://api.spotify.com/v1/tracks/2YJgM8lj4u5YEZRSHSfL60	https://api.spotify.com/v1/audio-analysis/2YJgM8lj4u5YEZRSHSfL60	301720	4
0.444	0.829	0	-7.284	0	0.199	0.0142	0.00195	0.385	0.546	155.931	audio_features	4uPT39qmM6i6QrR08ltXkq	spotify:track:4uPT39qmM6i6QrR08ltXkq	https://api.spotify.com/v1/tracks/4uPT39qmM6i6QrR08ltXkq	https://api.spotify.com/v1/audio-analysis/4uPT39qmM6i6QrR08ltXkq	248045	3
0.382	0.867	9	-7.426	1	0.0399	5.91e-06	0.581	0.196	0.453	87.309	audio_features	3ow0TQVttXQF8rLckmXgRx	spotify:track:3ow0TQVttXQF8rLckmXgRx	https://api.spotify.com/v1/tracks/3ow0TQVttXQF8rLckmXgRx	https://api.spotify.com/v1/audio-analysis/3ow0TQVttXQF8rLckmXgRx	298253	4
0.428	0.843	8	-9.242	1	0.0547	0.0241	5.42e-06	0.0807	0.155	157.982	audio_features	4jAwMNFpMDKDYPYkN1bv5a	spotify:track:4jAwMNFpMDKDYPYkN1bv5a	https://api.spotify.com/v1/tracks/4jAwMNFpMDKDYPYkN1bv5a	https://api.spotify.com/v1/audio-analysis/4jAwMNFpMDKDYPYkN1bv5a	139869	3
0.553	0.155	9	-8.905	1	0.034	0.843	0.00012	0.114	0.45	102.99	audio_features	6ey6o0CyYoRbU71ChOF6zi	spotify:track:6ey6o0CyYoRbU71ChOF6zi	https://api.spotify.com/v1/tracks/6ey6o0CyYoRbU71ChOF6zi	https://api.spotify.com/v1/audio-analysis/6ey6o0CyYoRbU71ChOF6zi	232453	4
0.324	0.2	5	-16.755	1	0.0377	0.381	0.791	0.0831	0.0381	111.935	audio_features	6eUoPtaNYUJpCG5QfTrsYI	spotify:track:6eUoPtaNYUJpCG5QfTrsYI	https://api.spotify.com/v1/tracks/6eUoPtaNYUJpCG5QfTrsYI	https://api.spotify.com/v1/audio-analysis/6eUoPtaNYUJpCG5QfTrsYI	145707	5
0.442	0.582	7	-5.927	1	0.0338	0.0119	0.00014	0.254	0.217	123.014	audio_features	0awvW9Pcq2skIqVOUdk5wX	spotify:track:0awvW9Pcq2skIqVOUdk5wX	https://api.spotify.com/v1/tracks/0awvW9Pcq2skIqVOUdk5wX	https://api.spotify.com/v1/audio-analysis/0awvW9Pcq2skIqVOUdk5wX	417832	3
0.603	0.464	9	-6.414	1	0.0433	0.578	0.0	0.104	0.474	95.053	audio_features	2V8jIbkoCm7mz79hdGdOTq	spotify:track:2V8jIbkoCm7mz79hdGdOTq	https://api.spotify.com/v1/tracks/2V8jIbkoCm7mz79hdGdOTq	https://api.spotify.com/v1/audio-analysis/2V8jIbkoCm7mz79hdGdOTq	127396	4
0.907	0.459	8	-7.375	1	0.0495	0.476	4.91e-05	0.373	0.602	140.303	audio_features	02dVKpR5Je3jXOILURy7xI	spotify:track:02dVKpR5Je3jXOILURy7xI	https://api.spotify.com/v1/tracks/02dVKpR5Je3jXOILURy7xI	https://api.spotify.com/v1/audio-analysis/02dVKpR5Je3jXOILURy7xI	81019	4
0.502	0.179	4	-12.161	1	0.0341	0.906	0.000209	0.0723	0.353	121.266	audio_features	08TqjIMc3jEpWsfRZknoXq	spotify:track:08TqjIMc3jEpWsfRZknoXq	https://api.spotify.com/v1/tracks/08TqjIMc3jEpWsfRZknoXq	https://api.spotify.com/v1/audio-analysis/08TqjIMc3jEpWsfRZknoXq	226000	3
